year,CrimeDate,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,Post,District,Neighborhood,Location 1,Premise,Total Incidents
2016,12/4/16,14:00:00,3JF,1500 N WOLFE ST,ROBBERY - RESIDENCE,I,FIREARM,331,EASTERN,Broadway East,"(39.3079200000, -76.5914300000)",ROW/TOWNHOUSE-OCC,1
2016,12/4/16,14:55:00,3K,200 S BENTALOU ST,ROBBERY - RESIDENCE,I,,841,SOUTHWESTERN,Carrollton Ridge,"(39.2843900000, -76.6526400000)",ROW/TOWNHOUSE-OCC,1
2016,12/4/16,3:05:00,3AF,3700 GREENMOUNT AVE,ROBBERY - STREET,O,FIREARM,543,NORTHERN,Waverly,"(39.3341800000, -76.6094500000)",STREET,1
2016,12/4/16,7:24:00,3CF,2700 WASHINGTON BLVD,ROBBERY - COMMERCIAL,I,FIREARM,831,SOUTHWESTERN,Morrell Park,"(39.2641700000, -76.6552800000)",FAST FOOD,1
2016,12/4/16,17:26:00,3D,200 N HIGHLAND AVE,ROBBERY - COMMERCIAL,I,,224,SOUTHEASTERN,Ellwood Park/Monument,"(39.2951100000, -76.5696200000)",RESTAURANT,1
2016,12/4/16,17:30:00,3CK,3400 EASTERN AVE,ROBBERY - COMMERCIAL,I,KNIFE,231,SOUTHEASTERN,Highlandtown,"(39.2865900000, -76.5687100000)",RETAIL/SMALL BUSINESS,1
2016,12/4/16,18:00:00,3B,HOWARD ST & W CHASE ST,ROBBERY - STREET,O,,141,CENTRAL,Mid-Town Belvedere,"(39.3011200000, -76.6201600000)",STREET,1
2016,12/4/16,18:18:00,3AF,BL & E NORTHERN PY,ROBBERY - STREET,O,FIREARM,423,NORTHEASTERN,Hamilton Hills,"(39.3684700000, -76.5670600000)",STREET,1
2016,12/4/16,18:20:00,3B,5300 CARTER AVE,ROBBERY - STREET,O,,426,NORTHEASTERN,Waltherson,"(39.3464800000, -76.5591300000)",OTHER - OUTSIDE,1
2016,12/4/16,18:20:00,3AF,5300 CARTER AVE,ROBBERY - STREET,O,FIREARM,426,NORTHEASTERN,Waltherson,"(39.3464800000, -76.5591300000)",PORCH/DECK,1
2016,12/4/16,18:39:00,3AF,6100 FAIR OAKS AVE,ROBBERY - STREET,O,FIREARM,423,NORTHEASTERN,Hamilton Hills,"(39.3594100000, -76.5657800000)",STREET,1
2016,12/4/16,18:40:00,3AK,3400 GREENMOUNT AVE,ROBBERY - STREET,O,KNIFE,543,NORTHERN,Waverly,"(39.3300500000, -76.6094100000)",STREET,1
